2023-03-21 23:19:14.721 [main] INFO  org.example.Calculator - [INPUT NLOG] 1.0
2023-03-21 23:19:14.725 [main] INFO  org.example.Calculator - [OUTPUT NLOG] 0.0
2023-03-21 23:19:14.726 [main] INFO  org.example.Calculator - [INPUT SQROOT] -1.0
2023-03-21 23:19:14.726 [main] INFO  org.example.Calculator - [OUTPUT SQROOT] ERROR
2023-03-21 23:19:14.726 [main] INFO  org.example.Calculator - [INPUT SQROOT] 49.0
2023-03-21 23:19:14.727 [main] INFO  org.example.Calculator - [OUTPUT SQROOT] 7.0
2023-03-21 23:19:14.735 [main] INFO  org.example.Calculator - [INPUT POWER] 3.0 2.0
2023-03-21 23:19:14.736 [main] INFO  org.example.Calculator - [OUTPUT POWER]9.0
2023-03-21 23:19:14.736 [main] INFO  org.example.Calculator - [INPUT POWER] 2.0 -1.0
2023-03-21 23:19:14.737 [main] INFO  org.example.Calculator - [OUTPUT POWER]0.5
2023-03-21 23:19:14.737 [main] INFO  org.example.Calculator - [INPUT NLOG] 2.718281828459045
2023-03-21 23:19:14.737 [main] INFO  org.example.Calculator - [OUTPUT NLOG] 1.0
2023-03-21 23:19:14.738 [main] INFO  org.example.Calculator - [INPUT NLOG] -2.718281828459045
2023-03-21 23:19:14.738 [main] INFO  org.example.Calculator - [OUTPUT NLOG] ERROR
2023-03-21 23:19:14.738 [main] INFO  org.example.Calculator - [INPUT POWER] NaN 100.0
2023-03-21 23:19:14.739 [main] INFO  org.example.Calculator - [OUTPUT POWER] ERROR
2023-03-21 23:19:14.739 [main] INFO  org.example.Calculator - [INPUT SQROOT] 401.0
2023-03-21 23:19:14.739 [main] INFO  org.example.Calculator - [OUTPUT SQROOT] 20.024984394500787
2023-03-21 23:19:14.740 [main] INFO  org.example.Calculator - [INPUT FACT] 0.0
2023-03-21 23:19:14.741 [main] INFO  org.example.Calculator - [OUTPUT FACT] 1.0
2023-03-21 23:19:14.741 [main] INFO  org.example.Calculator - [INPUT FACT] 5.0
2023-03-21 23:19:14.741 [main] INFO  org.example.Calculator - [OUTPUT FACT] 120.0
2023-03-21 23:19:14.742 [main] INFO  org.example.Calculator - [INPUT FACT] -1.0
2023-03-21 23:19:14.742 [main] INFO  org.example.Calculator - [OUTPUT FACT] ERROR
