"@timestamp","_id","_index","_score","log.level",message
"Mar 21, 2023 @ 01:41:16.688",fraDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.688 [main] INFO  org.example.Calculator - [OUTPUT FACT] ERROR"
"Mar 21, 2023 @ 01:41:16.687",e7aDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.687 [main] INFO  org.example.Calculator - [INPUT FACT] 5.0"
"Mar 21, 2023 @ 01:41:16.687",fLaDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.687 [main] INFO  org.example.Calculator - [OUTPUT FACT] 120.0"
"Mar 21, 2023 @ 01:41:16.687",fbaDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.687 [main] INFO  org.example.Calculator - [INPUT FACT] -1.0"
"Mar 21, 2023 @ 01:41:16.686",eraDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.686 [main] INFO  org.example.Calculator - [OUTPUT FACT] 1.0"
"Mar 21, 2023 @ 01:41:16.685",ebaDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.685 [main] INFO  org.example.Calculator - [INPUT FACT] 0.0"
"Mar 21, 2023 @ 01:41:16.684",d7aDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.684 [main] INFO  org.example.Calculator - [INPUT SQROOT] 401.0"
"Mar 21, 2023 @ 01:41:16.684",eLaDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.684 [main] INFO  org.example.Calculator - [OUTPUT SQROOT] 20.024984394500787"
"Mar 21, 2023 @ 01:41:16.683",dbaDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.683 [main] INFO  org.example.Calculator - [INPUT POWER] NaN 100.0"
"Mar 21, 2023 @ 01:41:16.683",draDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.683 [main] INFO  org.example.Calculator - [OUTPUT POWER] ERROR"
"Mar 21, 2023 @ 01:41:16.682",c7aDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.682 [main] INFO  org.example.Calculator - [INPUT NLOG] -2.718281828459045"
"Mar 21, 2023 @ 01:41:16.682",dLaDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.682 [main] INFO  org.example.Calculator - [OUTPUT NLOG] ERROR"
"Mar 21, 2023 @ 01:41:16.681",cLaDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.681 [main] INFO  org.example.Calculator - [OUTPUT POWER]0.5"
"Mar 21, 2023 @ 01:41:16.681",cbaDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.681 [main] INFO  org.example.Calculator - [INPUT NLOG] 2.718281828459045"
"Mar 21, 2023 @ 01:41:16.681",craDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.681 [main] INFO  org.example.Calculator - [OUTPUT NLOG] 1.0"
"Mar 21, 2023 @ 01:41:16.680",braDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.680 [main] INFO  org.example.Calculator - [OUTPUT POWER]9.0"
"Mar 21, 2023 @ 01:41:16.680",b7aDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.680 [main] INFO  org.example.Calculator - [INPUT POWER] 2.0 -1.0"
"Mar 21, 2023 @ 01:41:16.679",bbaDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.679 [main] INFO  org.example.Calculator - [INPUT POWER] 3.0 2.0"
"Mar 21, 2023 @ 01:41:16.670",bLaDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.670 [main] INFO  org.example.Calculator - [OUTPUT SQROOT] 7.0"
"Mar 21, 2023 @ 01:41:16.669",a7aDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.669 [main] INFO  org.example.Calculator - [INPUT SQROOT] 49.0"
"Mar 21, 2023 @ 01:41:16.668",abaDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.668 [main] INFO  org.example.Calculator - [INPUT SQROOT] -1.0"
"Mar 21, 2023 @ 01:41:16.668",araDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.668 [main] INFO  org.example.Calculator - [OUTPUT SQROOT] ERROR"
"Mar 21, 2023 @ 01:41:16.666",aLaDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.666 [main] INFO  org.example.Calculator - [OUTPUT NLOG] 0.0"
"Mar 21, 2023 @ 01:41:16.662",Z7aDAocB39IjWeKxjbuo,timestamp,"-",INFO,"2023-03-21 01:41:16.662 [main] INFO  org.example.Calculator - [INPUT NLOG] 1.0"
